,has_handle,counts,counts_tobit,fem_dum,dem_dum,rep_dum,state_num,sentiment_total,party,womens_issues,education,health_care,SquireXfemale,ideology_total,BlackorLatino_legislator,years_since_elected
5028,1,3216,3216,0,1,0,19,0.575870633,D,0.063432835,0.052238807,0.01119403,0,0.082711443,NA,NA
5029,1,377,377,0,1,0,44,0.029177696,D,0.026525199,0.0132626,0.0132626,0,0.058355443,0,11
5030,0,NA,0,0,0,1,44,NA,R,NA,NA,NA,0,NA,0,7
5031,0,NA,0,0,0,1,17,NA,R,NA,NA,NA,0,NA,NA,NA
5032,0,NA,0,0,1,0,25,NA,D,NA,NA,NA,0,NA,0,39
5033,1,35,35,0,1,0,19,0.942857146,D,0,0,0,0,0.314285725,NA,NA
5034,0,NA,0,0,0,1,29,NA,R,NA,NA,NA,0,NA,NA,NA
5035,0,NA,0,0,0,1,15,NA,R,NA,NA,NA,0,NA,0,NA
5036,1,142,142,0,1,0,34,0.577464759,D,0.084507041,0.02112676,0.063380279,0,0.105633795,NA,NA
5037,1,2852,2852,0,1,0,37,0.358345032,D,0.014375877,0.010518934,0.003856943,0,0.105890602,0,3
5038,1,29,29,1,0,1,13,0.344827592,R,0.172413796,0.103448279,0.068965517,0.169,-0.103448272,NA,NA
5039,1,NA,0,1,0,1,29,NA,R,NA,NA,NA,0.048,NA,0,NA
5040,0,NA,0,1,0,1,24,NA,R,NA,NA,NA,0.243000001,NA,0,5
5041,1,NA,0,0,0,1,40,NA,R,NA,NA,NA,NA,NA,0,NA
5042,0,NA,0,0,0,1,7,NA,R,NA,NA,NA,0,NA,NA,NA
5043,1,NA,0,0,0,1,47,NA,R,NA,NA,NA,0,NA,0,NA
5044,1,263,263,0,1,0,36,0.684410632,D,0.05323194,0.022813689,0.030418251,0,-0.003802277,0,NA
5045,1,1771,1771,0,0,1,14,0.665160894,R,0.031055901,0.028797289,0.002258611,0,0.128740832,0,NA
5046,1,55,55,0,0,1,17,0.690909147,R,0,0,0,0,0.436363637,0,NA
5047,0,NA,0,0,0,1,35,NA,R,NA,NA,NA,0,NA,0,NA
5048,1,173,173,0,0,1,34,0.815028906,R,0.080924854,0.040462427,0.040462427,0,0.098265894,NA,NA
5049,0,NA,0,0,0,1,39,NA,R,NA,NA,NA,0,NA,NA,NA
5050,1,828,828,0,1,0,5,0.657004833,D,0.03985507,0.025362318,0.014492754,0,0.027777776,0,NA
5051,0,NA,0,0,1,0,22,NA,D,NA,NA,NA,0,NA,0,NA
5052,0,NA,0,0,0,1,36,NA,R,NA,NA,NA,0,NA,0,NA
5053,0,NA,0,0,1,0,16,NA,D,NA,NA,NA,0,NA,0,NA
5054,0,NA,0,0,0,1,22,NA,R,NA,NA,NA,0,NA,1,NA
5055,0,NA,0,0,0,1,3,NA,R,NA,NA,NA,0,NA,0,NA
5056,1,166,166,0,1,0,23,0.240963876,D,0.060240962,0.012048192,0.048192769,0,0.042168677,0,NA
5057,1,548,548,0,0,1,23,0.44890511,R,0.03467153,0.009124087,0.025547445,0,0.271897823,0,NA
5058,1,6,6,0,0,1,17,0,R,0,0,0,0,0.166666672,0,NA
5059,1,2862,2862,0,0,1,27,0.439902157,R,0.045772187,0.030747728,0.015024458,0,0.083857447,0,NA
5060,0,NA,0,0,0,1,23,NA,R,NA,NA,NA,0,NA,0,NA
5061,0,NA,0,0,1,0,45,NA,D,NA,NA,NA,0,NA,NA,NA
5062,1,90,90,0,0,1,42,0.74444443,R,0.077777781,0.06666667,0.011111111,0,0.044444449,0,NA
5063,1,NA,0,0,0,1,39,NA,R,NA,NA,NA,0,NA,0,NA
5064,1,3,3,0,0,1,24,1,R,0,0,0,0,0.333333343,0,7
5065,1,3041,3041,0,0,1,39,0.577112794,R,0.043077938,0.011509372,0.031568564,0,0.141072005,0,NA
5066,1,123,123,0,0,1,40,0.406504035,R,0.016260162,0.008130081,0.008130081,NA,0.219512209,0,NA
5067,0,NA,0,0,0,1,48,NA,R,NA,NA,NA,0,NA,1,NA
5068,0,NA,0,0,0,1,34,NA,R,NA,NA,NA,0,NA,0,NA
5069,0,NA,0,0,1,0,22,NA,D,NA,NA,NA,0,NA,0,NA
5070,1,864,864,0,0,1,2,-0.106481493,R,0.026620369,0.012731481,0.013888889,0,0.067129634,0,NA
5071,1,13,13,0,0,1,40,0.769230783,R,0,0,0,NA,0.230769232,0,NA
5072,1,466,466,1,1,0,12,0.557939887,D,0.08583691,0.034334764,0.051502146,0.240999997,0.124463513,0,NA
5073,0,NA,0,0,0,1,25,NA,R,NA,NA,NA,0,NA,0,7
5074,1,598,598,0,0,1,10,0.515050173,R,0.005016722,0.001672241,0.003344482,0,0.297658861,0,NA
5075,0,NA,0,0,1,0,44,NA,D,NA,NA,NA,0,NA,0,5
5076,1,731,731,0,0,1,15,0.459644347,R,0.061559506,0.045143638,0.016415868,0,0.113543086,0,NA
5077,1,1766,1766,0,0,1,43,0.649490356,R,0.03510759,0.018686296,0.016421292,0,0.155152887,0,16
5078,1,223,223,0,0,1,8,0.677130044,R,0.017937221,0.013452915,0.004484305,0,0.161434978,NA,NA
5079,1,2284,2284,0,1,0,30,0.663747787,D,0.021891419,0.012259195,0.009632224,0,0.10070052,NA,NA
5080,1,4,4,0,1,0,29,0.75,D,0,0,0,0,0.5,0,NA
5081,0,NA,0,0,0,1,48,NA,R,NA,NA,NA,0,NA,0,NA
5082,1,156,156,0,0,1,42,0.115384609,R,0.025641026,0.01923077,0.006410256,0,0,NA,NA
5083,1,NA,0,0,0,1,40,NA,R,NA,NA,NA,NA,NA,0,NA
5084,1,3116,3116,0,1,0,29,-0.099165589,D,0.017650835,0.007702183,0.009948652,0,0.144094989,NA,NA
5085,1,2901,2901,0,1,0,29,0.066184074,D,0.022750776,0.010341262,0.012409514,0,0.070665292,0,NA
5086,1,333,333,0,1,0,12,0.531531513,D,0.084084086,0.036036037,0.048048049,0,0.066066056,NA,NA
5087,1,621,621,0,0,1,29,0.452495962,R,0.012882448,0.011272142,0.001610306,0,0.144927531,NA,NA
5088,0,NA,0,0,0,1,7,NA,R,NA,NA,NA,0,NA,NA,NA
5089,1,488,488,0,0,1,6,0.362704903,R,0.028688524,0.018442623,0.010245902,0,0.116803274,0,NA
5090,1,139,139,0,0,1,31,0.733812928,R,0.007194245,0.007194245,0,0,0.107913665,NA,NA
5091,1,59,59,0,1,0,47,0,D,0.016949153,0.016949153,0,0,0.06779661,NA,NA
5092,0,NA,0,0,1,0,44,NA,D,NA,NA,NA,0,NA,NA,17
5093,0,NA,0,0,0,1,39,NA,R,NA,NA,NA,0,NA,0,NA
5094,1,2300,2300,0,1,0,29,-0.01565218,D,0.017826088,0.005217392,0.012608696,0,0.067826077,NA,NA
5095,1,NA,0,0,1,0,29,NA,D,NA,NA,NA,0,NA,0,NA
5096,0,NA,0,0,0,1,21,NA,R,NA,NA,NA,0,NA,NA,NA
5097,0,NA,0,0,0,1,29,NA,R,NA,NA,NA,0,NA,NA,NA
5098,1,1780,1780,0,0,1,15,0.550561786,R,0.018539326,0.011797753,0.006741573,0,0.207303375,0,NA
5099,1,3216,3216,0,0,1,19,0.675684094,R,0.045087066,0.035447761,0.009639303,0,0.139303476,NA,NA
5100,1,1045,1045,1,1,0,36,0.482296646,D,0.07177034,0.023923445,0.047846891,0.416999996,0,NA,NA
5101,1,3190,3190,1,1,0,23,-0.067711592,D,0.069592476,0.013166144,0.056426331,0.203999996,0.063636377,0,NA
5102,1,1735,1735,1,1,0,45,0.460518718,D,0.048991356,0.028242076,0.02074928,0.272000015,0.046109512,0,NA
5103,0,NA,0,1,0,1,36,NA,R,NA,NA,NA,0.416999996,NA,0,NA
5104,0,NA,0,0,0,1,17,NA,R,NA,NA,NA,0,NA,NA,NA
5105,1,154,154,0,1,0,46,0.318181813,D,0.064935066,0.032467533,0.032467533,0,0.136363655,0,NA
5106,1,386,386,0,0,1,4,0.611398935,R,0.028497409,0.018134715,0.010362694,0,0.207253873,NA,2
5107,1,894,894,0,0,1,38,0.605145395,R,0.021252796,0.004474273,0.016778523,0,0.178970918,NA,NA
5108,1,397,397,0,0,1,43,0.803526461,R,0.050377835,0.032745592,0.017632242,0,0.173803538,0,5
5109,1,1580,1580,0,1,0,5,0.656329095,D,0.040506329,0.020886077,0.019620253,0,-0.010126576,1,NA
5110,1,3194,3194,0,0,1,41,0.637445211,R,0.031308703,0.02536005,0.005948654,0,0.083907329,0,NA
5111,1,3176,3176,0,0,1,15,0.255982339,R,0.02361461,0.016057935,0.007556675,0,0.120591938,0,NA
5112,1,29,29,0,0,1,10,0.310344815,R,0.034482758,0.034482758,0,0,0.103448279,0,NA
5113,1,142,142,0,0,1,46,0.85211271,R,0.007042253,0,0.007042253,0,0.218309864,0,NA
5114,0,NA,0,0,0,1,28,NA,R,NA,NA,NA,0,NA,0,20
5115,1,827,827,0,1,0,12,0.546553791,D,0.061668683,0.029020555,0.032648128,0,0.143893585,0,NA
5116,1,1888,1888,0,0,1,24,0.526483059,R,0.025423728,0.01006356,0.015360169,0,0.225635588,0,4
5117,0,NA,0,0,0,1,35,NA,R,NA,NA,NA,0,NA,0,NA
5118,0,NA,0,0,0,1,19,NA,R,NA,NA,NA,0,NA,NA,NA
5119,0,NA,0,0,0,1,36,NA,R,NA,NA,NA,0,NA,0,NA
5120,0,NA,0,0,1,0,12,NA,D,NA,NA,NA,0,NA,NA,NA
5121,1,323,323,0,0,1,35,0.551083624,R,0.046439625,0.043343652,0.003095975,0,0.108359136,0,NA
5122,1,2132,2132,0,1,0,33,0.226547852,D,0.064727955,0.035647281,0.029080676,0,-0.00422138,NA,NA
5123,1,1921,1921,0,0,1,22,0.566892266,R,0.015096305,0.010931807,0.004164498,0,0.164497674,0,NA
5124,1,580,580,0,0,1,34,0.232758641,R,0.029310346,0.013793103,0.015517241,0,0.258620679,NA,NA
5125,0,NA,0,0,1,0,11,NA,D,NA,NA,NA,0,NA,0,NA
5126,1,1,1,0,1,0,29,-1,D,0,0,0,0,1,NA,NA
5127,1,688,688,0,0,1,26,0.101744205,R,0.075581394,0.027616279,0.047965117,0,0.097383723,0,NA
5128,1,203,203,0,1,0,16,-0.142857134,D,0.034482758,0.034482758,0,0,0.103448272,0,NA
5129,1,1810,1810,0,1,0,36,0.545856357,D,0.092817679,0.03038674,0.062430941,0,0.032596692,NA,NA
5130,1,950,950,0,1,0,22,0.353684187,D,0.02631579,0.009473684,0.016842104,0,0.084210522,0,NA
5131,1,3234,3234,0,0,1,16,-0.060296834,R,0.016079158,0.009276438,0.006802721,0,0.073902287,0,NA
